"url","1","Msrp","Image","Image_alt","Image_link","Engine","Towing capacity","Horsepower_rpm","horse_power","Torque_rpm","torque lb_ft","New column"
"https://www.mbusa.com/mercedes/vehicles/class/build/class-GLE/bodystyle-SUV","GLE350 SUV","$52,000","https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2016/GLE/SUV/Overview/2016-GLE-GLE350-SUV-CGT-D.png","2016-GLE-GLE350-SUV-CGT-D.png","https://www.mbusa.com/mercedes/vehicles/build/class-GLE/model-GLE350W","3.5L V6","6,600","@ 6500 rpm","302","@ 3,500-5,250 rpm","273",""
"https://www.mbusa.com/mercedes/vehicles/class/build/class-GLE/bodystyle-SUV","GLE350 4MATIC SUV","$54,500","https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2016/GLE/SUV/Overview/2016-GLE-GLE350-SUV-CGT-D.png","2016-GLE-GLE350-SUV-CGT-D.png","https://www.mbusa.com/mercedes/vehicles/build/class-GLE/model-GLE350W4","3.5L V6","7,200","@ 6500 rpm","302","@ 3,500-5,250 rpm","273",""
"https://www.mbusa.com/mercedes/vehicles/class/build/class-GLE/bodystyle-SUV","GLE550e 4MATIC Plug-in Hybrid SUV","$66,300","https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2016/GLE/SUV/Overview/2016-GLE-GLE550-SUV-CGT-D.png","2016-GLE-GLE550-SUV-CGT-D.png","https://www.mbusa.com/mercedes/vehicles/build/class-GLE/model-GLE550E4","3.0L V6 biturbo + plug-in hybrid electric motor","4,410","","436","","479",""
"https://www.mbusa.com/mercedes/vehicles/class/build/class-GLE/bodystyle-SUV","AMG GLE43 SUV","$67,150","https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/GLE/SUV/Overview/2017-GLE-GLE43-AMG-SUV-CGT-D.png","2017-GLE-GLE43-AMG-SUV-CGT-D.png","https://www.mbusa.com/mercedes/vehicles/build/class-GLE/model-GLE43W4","AMG-enhanced 3.0L V6 biturbo","7200","@ 5,500-6,000 rpm","362","@1,800-4,000 rpm","384",""
"https://www.mbusa.com/mercedes/vehicles/class/build/class-GLE/bodystyle-SUV","AMG GLE63 SUV","$101,690","https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2016/GLE/SUV/Overview/2016-GLE-GLE63-AMG-SUV-CGT-D.png","2016-GLE-GLE63-AMG-SUV-CGT-D.png","https://www.mbusa.com/mercedes/vehicles/build/class-GLE/model-GLE63W4","Handcrafted AMG 5.5L V8 biturbo","7,200","@ 5,750 rpm","550","@ 1,750-5,000 rpm","516",""
"https://www.mbusa.com/mercedes/vehicles/class/build/class-GLE/bodystyle-SUV","AMG GLE63 S SUV","$108,840","https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2016/GLE/SUV/Overview/2016-GLE-GLE63S-AMG-SUV-CGT-D.png","2016-GLE-GLE63S-AMG-SUV-CGT-D.png","https://www.mbusa.com/mercedes/vehicles/build/class-GLE/model-GLE63W4S","Handcrafted AMG 5.5L V8 biturbo","7,200","@ 5,500 rpm","577","@ 1,750 - 5,250 rpm","561",""
"https://www.mbusa.com/mercedes/vehicles/class/build/class-GLS/bodystyle-SUV","GLS450 SUV","$68,700","https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/GLS/2017-GLS-GLS450-SUV-CGT-D.png","2017-GLS-GLS450-SUV-CGT-D.png","https://www.mbusa.com/mercedes/vehicles/build/class-GLS/model-GLS450W4","3.0L V6 biturbo","7,500","@ 5,500-6,000 rpm","362","@ 1,800-4,500 rpm","369",""
"https://www.mbusa.com/mercedes/vehicles/class/build/class-GLS/bodystyle-SUV","GLS550 SUV","$93,850","https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/GLS/2017-GLS-GLS550-SUV-CGT-D.png","2017-GLS-GLS550-SUV-CGT-D.png","https://www.mbusa.com/mercedes/vehicles/build/class-GLS/model-GLS550W4","4.7L V8 biturbo","7,500","@ 5,250-5,500 rpm","449","@ 1,800-3,500 rpm","516",""
"https://www.mbusa.com/mercedes/vehicles/class/build/class-GLS/bodystyle-SUV","AMG GLS63 SUV","$124,100","https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/GLS/2017-GLS-GLS63-AMG-SUV-CGT-D.png","2017-GLS-GLS63-AMG-SUV-CGT-D.png","https://www.mbusa.com/mercedes/vehicles/build/class-GLS/model-GLS63W4","Handcrafted 5.5L AMG V8 biturbo","7,500","@ 5,500 rpm","577","@ 1,750-5,250 rpm","561",""
